Date,Apple,Google,Microsoft
2/22/2016,24.21999931,36.45249939,52.65000153
2/23/2016,23.67250061,35.86449814,51.18000031
2/24/2016,24.02499962,36.04499817,51.36000061
2/25/2016,24.19000053,36.45600128,52.09999847
2/26/2016,24.22750092,36.24300003,51.29999924
2/29/2016,24.17250061,35.86100006,50.88000107
3/1/2016,25.13249969,37.10850143,52.58000183
3/2/2016,25.1875,36.97399902,52.95000076
3/3/2016,25.375,36.57949829,52.34999847
3/4/2016,25.75250053,36.51100159,52.02999878
3/7/2016,25.46750069,35.63999939,51.02999878
3/8/2016,25.25749969,35.67649841,51.65000153
3/9/2016,25.28000069,36.27050018,52.84000015
3/10/2016,25.29249954,36.60850143,52.04999924
3/11/2016,25.56500053,37.24349976,53.06999969
3/14/2016,25.62999916,37.51200104,53.16999817
3/15/2016,26.14500046,37.5284996,53.59000015
3/16/2016,26.49250031,37.86800003,54.34999847
3/17/2016,26.45000076,37.92399979,54.65999985
3/18/2016,26.47999954,37.77050018,53.49000168
3/21/2016,26.47750092,38.10800171,53.86000061
3/22/2016,26.68000031,38.00249863,54.06999969
3/23/2016,26.53249931,37.87799835,53.97000122
3/24/2016,26.41749954,37.74200058,54.20999908
3/28/2016,26.29750061,37.66400146,53.54000092
3/29/2016,26.92000008,38.29449844,54.70999908
3/30/2016,27.38999939,38.41699982,55.04999924
3/31/2016,27.24749947,38.14500046,55.22999954
4/1/2016,27.49749947,38.48350143,55.56999969
4/4/2016,27.78000069,38.25600052,55.43000031
4/5/2016,27.45249939,37.92850113,54.56000137
4/6/2016,27.73999977,38.4034996,55.11999893
4/7/2016,27.13500023,38.00600052,54.45999908
4/8/2016,27.16500092,37.9734993,54.41999817
4/11/2016,27.25499916,37.8769989,54.31000137
4/12/2016,27.61000061,38.2159996,54.65000153
4/13/2016,28.01000023,38.59550095,55.34999847
4/14/2016,28.02499962,38.76950073,55.36000061
4/15/2016,27.46249962,39,55.65000153
4/18/2016,26.87000084,39.38399887,56.45999908
4/19/2016,26.72750092,38.8125,56.38999939
4/20/2016,26.78249931,38.74599838,55.59000015
4/21/2016,26.49250031,39,55.77999878
4/22/2016,26.42000008,36.88850021,51.77999878
4/25/2016,26.27000046,37.11050034,52.11000061
4/26/2016,26.08749962,36.26850128,51.43999863
4/27/2016,24.45499992,36.07300186,50.93999863
4/28/2016,23.70750046,35.25299835,49.90000153
4/29/2016,23.43499947,35.39400101,49.86999893
5/2/2016,23.40999985,35.72050095,50.61000061
5/3/2016,23.79500008,35.42200089,49.77999878
5/4/2016,23.54750061,35.56850052,49.86999893
5/5/2016,23.30999947,35.73550034,49.93999863
5/6/2016,23.18000031,36.25899887,50.38999939
5/9/2016,23.19750023,36.45650101,50.06999969
5/10/2016,23.35499954,36.96900177,51.02000046
5/11/2016,23.12750053,36.52750015,51.04999924
5/12/2016,22.58499908,36.4034996,51.50999832
5/13/2016,22.62999916,36.24150085,51.08000183
5/16/2016,23.46999931,36.51499939,51.83000183
5/17/2016,23.37249947,36.0094986,50.50999832
5/18/2016,23.63999939,36.0890007,50.81000137
5/19/2016,23.54999924,35.76549911,50.31999969
5/20/2016,23.80500031,36.08549881,50.61999893
5/23/2016,24.10750008,35.86249924,50.02999878
5/24/2016,24.47500038,36.6515007,51.59000015
5/25/2016,24.90500069,36.90499878,52.11999893
5/26/2016,25.10250092,36.8465004,51.88999939
5/27/2016,25.08749962,37.38000107,52.31999969
5/31/2016,24.96500015,37.44250107,53
6/1/2016,24.61499977,37.42300034,52.84999847
6/2/2016,24.43000031,37.21350098,52.47999954
6/3/2016,24.47999954,36.79299927,51.79000092
6/6/2016,24.65749931,36.50299835,52.13000107
